name;number;set;warehouse_code;price;image;variant;sold;added_at
Hydrapple ex;11;Prismatic Evolutions;K100R1P0354;5.35;https://sklep839679.shoparena.pl/upload/images/1/img1808.jpg;common;;2025-09-05
Hydrapple ex;11;Prismatic Evolutions;K100R1P0355;5.35;https://sklep839679.shoparena.pl/upload/images/1/img1809.jpg;common;;2025-09-05
Hydrapple ex;11;Prismatic Evolutions;K100R1P0356;5.35;https://sklep839679.shoparena.pl/upload/images/1/img1810.jpg;common;;2025-09-05
Max Rod;116;Prismatic Evolutions;K100R1P0357;4.70;https://sklep839679.shoparena.pl/upload/images/1/img1811.jpg;common;;2025-09-05
Sparkling Crystal;129;Prismatic Evolutions;K100R1P0358;3.66;https://sklep839679.shoparena.pl/upload/images/1/img1812.jpg;common;;2025-09-05
Scoop Up Cyclone;128;Prismatic Evolutions;K100R1P0359;1.85;https://sklep839679.shoparena.pl/upload/images/1/img1813.jpg;common;;2025-09-05
Treasure Tracker;131;Prismatic Evolutions;K100R1P0360;2.10;https://sklep839679.shoparena.pl/upload/images/1/img1814.jpg;common;;2025-09-05
Zacian ex;198;SVP Black Star Promos;K100R1P0361;3.50;https://sklep839679.shoparena.pl/upload/images/1/img1815.jpg;common;;2025-09-05
Zacian ex;198;SVP Black Star Promos;K100R1P0362;3.50;https://sklep839679.shoparena.pl/upload/images/1/img1816.jpg;common;;2025-09-05
Koraidon ex;197;SVP Black Star Promos;K100R1P0363;3.50;https://sklep839679.shoparena.pl/upload/images/1/img1817.jpg;common;;2025-09-05
Koraidon ex;197;SVP Black Star Promos;K100R1P0360;3.50;https://sklep839679.shoparena.pl/upload/images/1/img1818.jpg;common;;2025-09-05
Koraidon ex;197;SVP Black Star Promos;K100R1P0361;3.50;https://sklep839679.shoparena.pl/upload/images/1/img1819.jpg;common;;2025-09-05
Ethan's Ho-Oh ex ;39;Destined Rivals;K100R1P0362;6.10;https://sklep839679.shoparena.pl/upload/images/1/img1820.jpg;common;;2025-09-05
Dangerous Laser;58;Shrouded Fable;K100R1P0363;4.10;https://sklep839679.shoparena.pl/upload/images/1/img1821.jpg;common;;2025-09-05
Dangerous Laser;58;Shrouded Fable;K100R1P0364;4.10;https://sklep839679.shoparena.pl/upload/images/1/img1822.jpg;common;;2025-09-05
Alcremie ex;75;Journey Together;K100R1P0365;3.81;https://sklep839679.shoparena.pl/upload/images/1/img1823.jpg;common;;2025-09-05
